,movie_title,director,principal_cast
793,Escape Room (2019),Adam Robitel,"Jay Ellis, Logan Miller, Taylor Russell, Tyler Labine"
794,Yesterday (2019),Danny Boyle,"Sophia Di Martino, Lily James, Ellise Chappell, Himesh Patel"
795,The Angry Birds Movie 2 (2019),Thurop Van Orman,"Leslie Jones, Josh Gad, Jason Sudeikis, Bill Hader"
796,Angel Has Fallen (2019),Ric Roman Waugh,"Frederick Schmidt, Rocci Williams, Gerard Butler, Danny Huston"
797,Ad Astra (2019),James Gray,"Tommy Lee Jones, Donald Sutherland, Brad Pitt, Ruth Negga"
798,The Upside (2017),Neil Burger,"Bryan Cranston, Nicole Kidman, Kevin Hart, Aja Naomi King"
799,Midway (2019),Roland Emmerich,"Patrick Wilson, Woody Harrelson, Luke Evans, Ed Skrein"
800,Looking Up (2019),Chao Deng,"Suxi Ren, Yu Bai, Chao Deng, Xi Wang"
801,Wonder Park (2019),Dylan Brown,"Jennifer Garner, Sofia Mali, Kenan Thompson, Ken Hudson Campbell"
802,P Storm (2019),David Lam,"Kevin Cheng, Raymond Lam, Louis Koo, Ka Tung Lam"
803,Line Walker 2: Invisible Spy (2019),Jazz Boon,"Nick Cheung, Peiyao Jiang, Louis Koo, Francis Ng"
804,Crawl (2019),Alexandre Aja,"Ross Anderson, Barry Pepper, Morfydd Clark, Kaya Scodelario"
805,One Piece: Stampede (2019),Takashi Otsuka,"Kim Anh, Tuan Anh, Major Attaway, Felecia Angelle"
806,A Dog's Way Home (2019),Charles Martin Smith,"Ashley Judd, Alexandra Shipp, Jonah Hauer-King, Edward James Olmos"
807,Cold Pursuit (2019),Hans Petter Moland,"Laura Dern, Micheál Richardson, Michael Eklund, Liam Neeson"
808,A Dog's Journey (2019),Gail Mancuso,"Josh Gad, Marg Helgenberger, Kathryn Prescott, Dennis Quaid"
809,White Snake (2019),Amp Wong,"Matthew Moy, Vincent Rodriguez III, James Sie, Stephanie Sheh"
810,47 Meters Down: Uncaged (2019),Johannes Roberts,"Sophie Nélisse, Corinne Foxx, Sistine Rose Stallone, Brianne Tju"
811,Chasing the Dragon II: Wild Wild Bunch (2019),Jason Kwan,"Ka Tung Lam, Louis Koo, Tony Ka Fai Leung, Jiang Du"
812,Richard Jewell (2019),Clint Eastwood,"Ryan Boz, Paul Walter Hauser, Brandon Stanley, Sam Rockwell"
813,Fighting with My Family (2019),Stephen Merchant,"Lena Headey, Vince Vaughn, Florence Pugh, Dwayne Johnson"
814,UglyDolls (2019),Kelly Asbury,"Kelly Clarkson, Janelle Monáe, Nick Jonas, Blake Shelton"
815,The Wild Goose Lake (2019),Yi'nan Diao,"Fan Liao, Ge Hu, Lun-Mei Kwei, Regina Wan"
816,The Farewell (2019),Lulu Wang,"X Mayo, Hong Lu, Awkwafina, Shuzhen Zhao"
817,Always Miss You (2019),Hung-i Chen,"Dong-xue Li, Yi-Lin Sie, Amber Kuo, Ryan Zheng"
818,Peppa Celebrates Chinese New Year (2019),Dapeng Zhang,"Yawen Zhu, Michelle Wai, Yun Liu"
819,Fate/stay night [Heaven's Feel] II. lost butterfly (2019),Tomonori Sudô,"Michael Donovan, Melissa Fahn, Yu Asakawa, Crispin Freeman"
820,Little Q (2019),Wing-Cheong Law,"Him Law, Charlie Yeung, Simon Yam, Gigi Leung"
821,Mayday Life (2019),Muh Chen,"Mayday, Tony Ka Fai Leung, Ashin, Bo Huang"
822,Furie (2019),Le-Van Kiet,"Van Veronica Ngo, Thanh Nhien Phan, Mai Cát Vi, Pham Anh Khoa"
823,The Professor and the Madman (2019),Farhad Safinia,"Sean Penn, Natalie Dormer, Eddie Marsan, Mel Gibson"
824,Swift (2019),Andrea Block,"Willem Dafoe, Kate Winslet, Josh Keaton, Cassandra Steen"
825,Savage (2018),Siwei Cui,"Fan Liao, Jue Huang, Ni Ni, Chen Chang"
826,Ride Your Wave (2019),Masaaki Yuasa,"Kentaro Ito, Ryôta Katayose, Honoka Matsumoto, Rina Kawaei"
827,Midnight Diner (2019),Tony Ka Fai Leung,"Tony Ka Fai Leung, Yibai Zhang, Tao Liu, Tony Yo-ning Yang"
828,The Crossing (2018),Xue Bai,"Yao Huang, Elena Kong, Gang Jiao, Kai Chi Liu"
829,Fagara (2019),Heiward Mak,"Linda Jui-Chi Liu, Megan Lai, Sammi Cheng, Xiaofeng Li"
830,Triple Threat (2019),Jesse V. Johnson,"Tony Jaa, Iko Uwais, Tiger Hu Chen, Scott Adkins"
831,Die Hard with a Vengeance (1995),John McTiernan,"Samuel L. Jackson, Bruce Willis, Graham Greene, Jeremy Irons"
832,Mission: Impossible (1996),Brian De Palma,"Emmanuelle Béart, Jon Voight, Tom Cruise, Henry Czerny"
833,Titanic (1997),James Cameron,"Kathy Bates, Billy Zane, Kate Winslet, Leonardo DiCaprio"
834,Life Is Beautiful (1997),Roberto Benigni,"Nicoletta Braschi, Giustino Durano, Giorgio Cantarini, Roberto Benigni"
835,Star Wars: Episode I,George Lucas,"Jake Lloyd, Liam Neeson, Ewan McGregor, Natalie Portman"
836,The Legend of 1900 (1998),Giuseppe Tornatore,"Bill Nunn, Tim Roth, Mélanie Thierry, Pruitt Taylor Vince"
