,movie_title,director,principal_cast
264,Fast & Furious 6 (2013),Justin Lin,"Michelle Rodriguez, Dwayne Johnson, Paul Walker, Vin Diesel"
265,Monsters University (2013),Dan Scanlon,"Steve Buscemi, Billy Crystal, John Goodman, Helen Mirren"
266,Gravity (2013),Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen"
267,Man of Steel (2013),Zack Snyder,"Amy Adams, Diane Lane, Michael Shannon, Henry Cavill"
268,Thor: The Dark World (2013),Alan Taylor,"Chris Hemsworth, Tom Hiddleston, Stellan Skarsgård, Natalie Portman"
269,The Croods (2013),Kirk DeMicco,"Catherine Keener, Ryan Reynolds, Emma Stone, Nicolas Cage"
270,Oz The Great and Powerful (2013),Sam Raimi,"Rachel Weisz, Michelle Williams, James Franco, Mila Kunis"
271,Star Trek Into Darkness (2013),J.J. Abrams,"Chris Pine, Zoe Saldana, Benedict Cumberbatch, Zachary Quinto"
272,The Wolverine (2013),James Mangold,"Rila Fukushima, Will Yun Lee, Tao Okamoto, Hugh Jackman"
273,Pacific Rim (2013),Guillermo del Toro,"Rinko Kikuchi, Charlie Hunnam, Idris Elba, Charlie Day"
274,G.I. Joe: Retaliation (2013),Jon M. Chu,"Channing Tatum, Byung-hun Lee, Adrianne Palicki, Dwayne Johnson"
275,The Great Gatsby (2013),Baz Luhrmann,"Joel Edgerton, Carey Mulligan, Tobey Maguire, Leonardo DiCaprio"
276,Now You See Me (2013),Louis Leterrier,"Woody Harrelson, Jesse Eisenberg, Mark Ruffalo, Common"
277,The Smurfs 2 (2013),Raja Gosnell,"Hank Azaria, Neil Patrick Harris, Katy Perry, Jayma Mays"
278,A Good Day to Die Hard (2013),John Moore,"Bruce Willis, Sebastian Koch, Mary Elizabeth Winstead, Jai Courtney"
279,Oblivion (2013),Joseph Kosinski,"Olga Kurylenko, Tom Cruise, Andrea Riseborough, Morgan Freeman"
280,Elysium (2013),Neill Blomkamp,"Alice Braga, Jodie Foster, Matt Damon, Sharlto Copley"
281,Turbo (2013),David Soren,"Samuel L. Jackson, Ryan Reynolds, Paul Giamatti, Maya Rudolph"
282,Epic (2013),Chris Wedge,"Beyoncé, Colin Farrell, Josh Hutcherson, Amanda Seyfried"
283,The Lone Ranger (2013),Gore Verbinski,"Armie Hammer, William Fichtner, Johnny Depp, Tom Wilkinson"
284,American Hustle (2013),David O. Russell,"Bradley Cooper, Christian Bale, Amy Adams, Jennifer Lawrence"
285,After Earth (2013),M. Night Shyamalan,"David Denman, Will Smith, Sophie Okonedo, Jaden Smith"
286,Journey to the West (2013),Stephen Chow,"Qi Shu, Show Lo, Zhang Wen, Bo Huang"
287,White House Down (2013),Roland Emmerich,"Jamie Foxx, Channing Tatum, Jason Clarke, Maggie Gyllenhaal"
288,Jack the Giant Slayer (2013),Bryan Singer,"Bill Nighy, Nicholas Hoult, Stanley Tucci, Ewan McGregor"
289,Olympus Has Fallen (2013),Antoine Fuqua,"Angela Bassett, Aaron Eckhart, Gerard Butler, Morgan Freeman"
290,RED 2 (2013),Dean Parisot,"John Malkovich, Bruce Willis, Anthony Hopkins, Helen Mirren"
291,Escape Plan (2013),Mikael Håfström,"Sylvester Stallone, ""Vincent DOnofrio"", 50 Cent, Arnold Schwarzenegger"
292,Ender's Game (2013),Gavin Hood,"Abigail Breslin, Asa Butterfield, Harrison Ford, Hailee Steinfeld"
293,Jurassic Park (1993),Steven Spielberg,"Laura Dern, Jeff Goldblum, Sam Neill, Richard Attenborough"
294,Personal Tailor (2013),Xiaogang Feng,"Bingkun Cao, Jackie Chan, Nathaniel Boyd, Baihe Bai"
295,So Young (2013),Wei Zhao,"Mark Chao, Geng Han, Shuying Jiang, Zishan Yang"
296,Free Birds (2013),Jimmy Hayward,"Dan Fogler, Owen Wilson, Amy Poehler, Woody Harrelson"
297,Young Detective Dee: Rise of the Sea Dragon (2013),Hark Tsui,"Carina Lau, Mark Chao, Chien Sheng, Angelababy"
298,The Mortal Instruments: City of Bones (2013),Harald Zwart,"Jamie Campbell Bower, Jemima West, Lily Collins, Robert Sheehan"
299,Police Story: Lockdown (2013),Sheng Ding,"Jackie Chan, Tian Jing, Tao Yin, Ye Liu"
300,Dhoom 3 (2013),Vijay Krishna Acharya,"Aamir Khan, Katrina Kaif, Uday Chopra, Abhishek Bachchan"
301,Snowpiercer (2013),Bong Joon Ho,"Tilda Swinton, Jamie Bell, Ed Harris, Chris Evans"
302,Finding Mr. Right (2013),Xiaolu Xue,"Xiubo Wu, Hongmei Mai, Hai-Qing, Wei Tang"
303,Tiny Times (2013),Jingming Guo,"Mi Yang, Rhydian Vaughan, Kai Ko, Amber Kuo"
304,Stalingrad (2013),Fedor Bondarchuk,"Yanina Studilina, Mariya Smolnikova, Pyotr Fyodorov, Thomas Kretschmann"
305,Thunder and the House of Magic (2013),Jeremy Degruson,"Brianne Brozey, Cinda Adams, George Babbit, Kathleen Gati"
306,The Grandmaster (2013),Kar-Wai Wong,"Jin Zhang, Ziyi Zhang, Chen Chang, Tony Chiu-Wai Leung"
307,The Legend of Hercules (2014),Renny Harlin,"Gaia Weiss, Roxanne McKee, Kellan Lutz, Scott Adkins"
308,Homefront (2013),Gary Fleder,"Winona Ryder, Kate Bosworth, Jason Statham, James Franco"
309,The Last Stand (2013),Jee-woon Kim,"Arnold Schwarzenegger, Rodrigo Santoro, Johnny Knoxville, Forest Whitaker"
310,Tiny Times 2.0 (2013),Jingming Guo,"Mi Yang, Rhydian Vaughan, Kai Ko, Amber Kuo"
311,Jobs (2013),Joshua Michael Stern,"Ashton Kutcher, Dermot Mulroney, Lukas Haas, Josh Gad"
312,A Wedding Invitation (2013),Ki-hwan Oh,"Eddie Peng, Jinfu Jiang, Baihe Bai, Pace Wu"
313,Special ID (2013),Clarence Yiu-leung Fok,"Ronald Cheng, Tian Jing, Donnie Yen, Andy On"
314,Khumba (2013),Anthony Silverston,"Bryce Papenbrook, Jake T. Austin, Adrian Rhodes, Sam Riegel"
315,Drug War (2012),Johnnie To,"Honglei Sun, Louis Koo, Yi Huang, Michelle Ye"
316,Fei chang xing yun (2013),Dennie Gordon,"Leehom Wang, Ziyi Zhang, Terri Kwan, Ryan Zheng"
317,Bullet to the Head (2012),Walter Hill,"Sylvester Stallone, Sung Kang, Jason Momoa, Christian Slater"
318,The Rooftop (2013),Jay Chou,"Alan Ko, Xueqi Wang, Eric Tsang, Jay Chou"
319,Redemption (2013),Steven Knight,"Vicky McClure, Benedict Wong, Jason Statham, Agata Buzek"
320,Man of Tai Chi (2013),Keanu Reeves,"Tiger Hu Chen, Karen Mok, Hai Yu, Keanu Reeves"
321,Ip Man: The Final Fight (2013),Herman Yau,"Gillian Chung, Anthony Chau-Sang Wong, Eric Tsang, Jordan Chan"
322,Welcome to the Punch (2013),Eran Creevy,"Peter Mullan, James McAvoy, Andrea Riseborough, Mark Strong"
323,Transformers: Age of Extinction (2014),Michael Bay,"Nicola Peltz, Stanley Tucci, Mark Wahlberg, Jack Reynor"
324,The Hobbit: The Battle of the Five Armies (2014),Peter Jackson,"Martin Freeman, Cate Blanchett, Ian McKellen, Richard Armitage"
325,Guardians of the Galaxy (2014),James Gunn,"Bradley Cooper, Zoe Saldana, Chris Pratt, Vin Diesel"
326,Maleficent (2014),Robert Stromberg,"Elle Fanning, Sharlto Copley, Lesley Manville, Angelina Jolie"
327,The Hunger Games: Mockingjay,Francis Lawrence,"Woody Harrelson, Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth"
328,X,Bryan Singer,"Patrick Stewart, James McAvoy, Ian McKellen, Hugh Jackman"
329,Captain America: The Winter Soldier (2014),Anthony Russo,"Samuel L. Jackson, Scarlett Johansson, Chris Evans, Robert Redford"
330,Dawn of the Planet of the Apes (2014),Matt Reeves,"Keri Russell, Andy Serkis, Kodi Smit-McPhee, Gary Oldman"
331,The Amazing Spider,Marc Webb,"Jamie Foxx, Paul Giamatti, Emma Stone, Andrew Garfield"
332,Interstellar (2014),Christopher Nolan,"Anne Hathaway, Jessica Chastain, Matthew McConaughey, Mackenzie Foy"
333,Big Hero 6 (2014),Don Hall,"T.J. Miller, Jamie Chung, Ryan Potter, Scott Adsit"
334,How to Train Your Dragon 2 (2014),Dean DeBlois,"Craig Ferguson, Jay Baruchel, Cate Blanchett, Gerard Butler"
335,Rio 2 (2014),Carlos Saldanha,"Anne Hathaway, Andy Garcia, Jesse Eisenberg, Jemaine Clement"
336,Teenage Mutant Ninja Turtles (2014),Jonathan Liebesman,"Noel Fisher, Will Arnett, William Fichtner, Megan Fox"
337,Lucy (2014),Luc Besson,"Amr Waked, Scarlett Johansson, Min-sik Choi, Morgan Freeman"
338,Penguins of Madagascar (2014),Eric Darnell,"Conrad Vernon, Christopher Knights, Tom McGrath, Chris Miller"
339,Edge of Tomorrow (2014),Doug Liman,"Brendan Gleeson, Emily Blunt, Tom Cruise, Bill Paxton"
340,Night at the Museum: Secret of the Tomb (2014),Shawn Levy,"Owen Wilson, Robin Williams, Ben Stiller, Dick Van Dyke"
341,The Maze Runner (2014),Wes Ball,"Thomas Brodie-Sangster, ""Dylan OBrien"", Will Poulter, Kaya Scodelario"
342,Divergent (2014),Neil Burger,"Theo James, Shailene Woodley, Kate Winslet, Jai Courtney"
343,Mr. Peabody & Sherman (2014),Rob Minkoff,"Stephen Colbert, Leslie Mann, Max Charles, Ty Burrell"
344,Paddington (2014),Paul King,"Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent"
345,Hercules (2014),Brett Ratner,"John Hurt, Joseph Fiennes, Ian McShane, Dwayne Johnson"
346,RoboCop (2014),José Padilha,"Abbie Cornish, Joel Kinnaman, Gary Oldman, Michael Keaton"
347,The Imitation Game (2014),Morten Tyldum,"Keira Knightley, Benedict Cumberbatch, Allen Leech, Matthew Goode"
348,Non,Jaume Collet-Serra,"Julianne Moore, Scoot McNairy, Michelle Dockery, Liam Neeson"
349,The Expendables 3 (2014),Patrick Hughes,"Sylvester Stallone, Jet Li, Jason Statham, Antonio Banderas"
350,Fury (2014),David Ayer,"Shia LaBeouf, Logan Lerman, Michael Peña, Brad Pitt"
351,Need for Speed (2014),Scott Waugh,"Dominic Cooper, Imogen Poots, Kid Cudi, Aaron Paul"
352,Breakup Buddies (2014),Hao Ning,"Zheng Xu, Quan Yuan, Bo Huang, Dongyu Zhou"
353,Into the Storm (2014),Steven Quale,"Matt Walsh, Max Deacon, Sarah Wayne Callies, Richard Armitage"
354,Unbroken (2014),Angelina Jolie,"Garrett Hedlund, Miyavi, Domhnall Gleeson, ""Jack OConnell"""
355,The Monuments Men (2014),George Clooney,"George Clooney, Cate Blanchett, Matt Damon, Bill Murray"
356,The Taking of Tiger Mountain (2014),Hark Tsui,"Kenny Lin, Tony Ka Fai Leung, Nan Yu, Hanyu Zhang"
357,The Admiral: Roaring Currents (2014),Han-min Kim,"Myung-gon Kim, Seung-ryong Ryu, Min-sik Choi, Jin-woong Cho"
358,Jack Ryan: Shadow Recruit (2014),Kenneth Branagh,"Chris Pine, Keira Knightley, Kevin Costner, Kenneth Branagh"
359,The Nut Job (2014),Peter Lepeniotis,"Brendan Fraser, Will Arnett, Katherine Heigl, Liam Neeson"
360,Pompeii (2014),Paul W.S. Anderson,"Emily Browning, Adewale Akinnuoye-Agbaje, Kiefer Sutherland, Kit Harington"
361,Seventh Son (2014),Sergei Bodrov,"Ben Barnes, Jeff Bridges, Julianne Moore, Alicia Vikander"
362,The Breakup Guru (2014),Chao Deng,"Yan Liu, Mi Yang, Chao Deng, Chao Liang"
363,Transcendence (2014),Wally Pfister,"Cillian Murphy, Rebecca Hall, Johnny Depp, Morgan Freeman"
364,PK (2014),Rajkumar Hirani,"Sanjay Dutt, Aamir Khan, Boman Irani, Anushka Sharma"
365,Fleet of Time (2014),Yibai Zhang,"Eddie Peng, Ni Ni, Vision Wei, Ryan Zheng"
366,"I, Frankenstein (2014)",Stuart Beattie,"Bill Nighy, Aaron Eckhart, Miranda Otto, Virginie Le Brun"
367,Brick Mansions (2014),Camille Delamarre,"RZA, Goûchy Boy, David Belle, Paul Walker"
368,Beijing Love Story (2014),Sicheng Chen,"Carina Lau, Tony Ka Fai Leung, Liya Tong, Sicheng Chen"
369,Begin Again (2013),John Carney,"Keira Knightley, Adam Levine, Mark Ruffalo, Hailee Steinfeld"
370,The Walk (2015),Robert Zemeckis,"Émilie Leclerc, Joseph Gordon-Levitt, Guillaume Baillargeon, Charlotte Le Bon"
371,Coming Home (2014),Yimou Zhang,"Tao Guo, Huiwen Zhang, Daoming Chen, Li Gong"
372,Beauty and the Beast (2017),Bill Condon,"Josh Gad, Dan Stevens, Luke Evans, Emma Watson"
373,Wei ai zhi jian ru jia jing (2014),Changwei Gu,"Angelababy, Luyi Zhang, He Chen, Lu Cao"
374,The November Man (2014),Roger Donaldson,"Luke Bracey, Bill Smitrovich, Pierce Brosnan, Olga Kurylenko"
375,Women Who Flirt (2014),Ho-Cheung Pang,"Xiaoming Huang, Yi-Lin Sie, Sonia Sui, Xun Zhou"
376,But Always (2014),Snow Zou,"Alice Li, Nicholas Tse, Haitao Du, Yuanyuan Gao"
377,Left Behind (2014),Vic Armstrong,"Chad Michael Murray, Cassi Thomson, Nicolas Cage, Lea Thompson"
378,Kung Fu Jungle (2014),Teddy Chan,"Charlie Yeung, Bing Bai, Donnie Yen, Baoqiang Wang"
379,Sabotage (2014),David Ayer,"Arnold Schwarzenegger, Terrence Howard, Olivia Williams, Sam Worthington"
380,That Demon Within (2014),Dante Lam,"Nick Cheung, Shatina Chen, Kai Chi Liu, Daniel Wu"
381,The Two Faces of January (2014),Hossein Amini,"Oscar Isaac, Daisy Bevan, Kirsten Dunst, Viggo Mortensen"
382,Predestination (2014),Michael Spierig,"Madeleine West, Sarah Snook, Noah Taylor, Ethan Hawke"
383,Song of the Sea (2014),Tomm Moore,"Brendan Gleeson, Fionnula Flanagan, David Rawle, Lisa Hannigan"
384,All You Need Is Love (2014),Stuart Cameron,Sigourney Weaver
385,Star Wars: Episode VII,J.J. Abrams,"Oscar Isaac, Daisy Ridley, Domhnall Gleeson, John Boyega"
386,Jurassic World (2015),Colin Trevorrow,"Judy Greer, Bryce Dallas Howard, Chris Pratt, Ty Simpkins"
387,Furious 7 (2015),James Wan,"Dwayne Johnson, Paul Walker, Jason Statham, Vin Diesel"
388,Avengers: Age of Ultron (2015),Joss Whedon,"Mark Ruffalo, Chris Hemsworth, Robert Downey Jr., Chris Evans"
389,Minions (2015),Kyle Balda,"Sandra Bullock, Pierre Coffin, Jon Hamm, Michael Keaton"
390,Spectre (2015),Sam Mendes,"Christoph Waltz, Léa Seydoux, Ralph Fiennes, Daniel Craig"
391,Inside Out (2015),Pete Docter,"Lewis Black, Amy Poehler, Bill Hader, Mindy Kaling"
392,Mission: Impossible,Christopher McQuarrie,"Jeremy Renner, Rebecca Ferguson, Tom Cruise, Simon Pegg"
393,The Hunger Games: Mockingjay,Francis Lawrence,"Woody Harrelson, Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth"
394,The Martian (2015),Ridley Scott,"Kristen Wiig, Matt Damon, Jessica Chastain, Kate Mara"
395,Cinderella (2015),Kenneth Branagh,"Lily James, Helena Bonham Carter, Richard Madden, Cate Blanchett"
396,The Revenant (2015),Alejandro G. Iñárritu,"Tom Hardy, Will Poulter, Domhnall Gleeson, Leonardo DiCaprio"
397,Ant,Peyton Reed,"Michael Douglas, Paul Rudd, Evangeline Lilly, Corey Stoll"
398,Hotel Transylvania 2 (2015),Genndy Tartakovsky,"Kevin James, Adam Sandler, Andy Samberg, Selena Gomez"
399,San Andreas (2015),Brad Peyton,"Colton Haynes, Carla Gugino, Alexandra Daddario, Dwayne Johnson"
400,Terminator Genisys (2015),Alan Taylor,"Arnold Schwarzenegger, Emilia Clarke, Jason Clarke, Jai Courtney"
401,Kingsman: The Secret Service (2014),Matthew Vaughn,"Samuel L. Jackson, Colin Firth, Michael Caine, Taron Egerton"
402,Monster Hunt (2015),Raman Hui,"Elaine Jin, Boran Jing, Wu Jiang, Baihe Bai"
403,Taken 3 (2014),Olivier Megaton,"Maggie Grace, Famke Janssen, Liam Neeson, Forest Whitaker"
404,The SpongeBob Movie: Sponge Out of Water (2015),Paul Tibbitt,"Bill Fagerbakke, Clancy Brown, Tom Kenny, Antonio Banderas"
405,Maze Runner: The Scorch Trials (2015),Wes Ball,"Thomas Brodie-Sangster, ""Dylan OBrien"", Giancarlo Esposito, Kaya Scodelario"
406,The Divergent Series: Insurgent (2015),Robert Schwentke,"Theo James, Shailene Woodley, Kate Winslet, Ansel Elgort"
407,Xun long jue (2015),Wuershan,"Angelababy, Qi Shu, Keith Collea, Kun Chen"
408,Lost in Hong Kong (2015),Zheng Xu,"Zheng Xu, Wei Zhao, Bei-Er Bao, Juan Du"
409,The Peanuts Movie (2015),Steve Martino,"Francesca Capaldi, Bill Melendez, Noah Schnapp, Hadley Belle Miller"
410,Pixels (2015),Chris Columbus,"Kevin James, Adam Sandler, Michelle Monaghan, Peter Dinklage"
411,Alvin and the Chipmunks: The Road Chip (2015),Walt Becker,"Jesse McCartney, Matthew Gray Gubler, Jason Lee, Justin Long"
412,Goodbye Mr. Loser (2015),Da-Mo Peng,"Li-Chun Lee, Lun Ai, Ping Li, Yuan Chang"
413,Tomorrowland (2015),Brad Bird,"Hugh Laurie, Raffey Cassidy, Britt Robertson, George Clooney"
414,Everest (2015),Baltasar Kormákur,"Ang Phula Sherpa, Martin Henderson, Jason Clarke, Thomas M. Wright"
415,Jupiter Ascending (2015),Lana Wachowski,"Eddie Redmayne, Channing Tatum, Sean Bean, Mila Kunis"
416,Ip Man 3 (2015),Wilson Yip,"Jin Zhang, Lynn Xiong, Donnie Yen, Mike Tyson"
417,Gods of Egypt (2016),Alex Proyas,"Nikolaj Coster-Waldau, Brenton Thwaites, Gerard Butler, Chadwick Boseman"
418,The Last Witch Hunter (2015),Breck Eisner,"Rose Leslie, Ólafur Darri Ólafsson, Elijah Wood, Vin Diesel"
419,Mr. Six (2015),Hu Guan,"Qing Xu, Kris Wu, Xiaogang Feng, Hanyu Zhang"
420,Point Break (2015),Ericson Core,"Luke Bracey, Teresa Palmer, Edgar Ramírez, Ray Winstone"
421,Pan (2015),Joe Wright,"Rooney Mara, Garrett Hedlund, Levi Miller, Hugh Jackman"
422,Detective Chinatown (2015),Sicheng Chen,"Baoqiang Wang, Liya Tong, He Chen, Haoran Liu"
423,Wolf Totem (2015),Jean-Jacques Annaud,"Shawn Dou, Ankhnyam Ragchaa, Shaofeng Feng, Zhusheng Yin"
424,Dragon Blade (2015),Daniel Lee,"Adrien Brody, Jackie Chan, Si Won Choi, John Cusack"
425,Shaun the Sheep Movie (2015),Mark Burton,"John Sparkes, Richard Webber, Justin Fletcher, Omid Djalili"
426,Chappie (2015),Neill Blomkamp,"Dev Patel, Hugh Jackman, Sigourney Weaver, Sharlto Copley"
427,Devil and Angel (2015),Chao Deng,"Lele Dai, Li Sun, Chao Deng, Chao Liang"
428,The Little Prince (2015),Mark Osborne,"Jeff Bridges, Marion Cotillard, Rachel McAdams, Mackenzie Foy"
429,Assassination (2015),Dong-hoon Choi,"Ji-Hyun Jun, Dal-su Oh, Jung-jae Lee, Jung-woo Ha"
430,Kill Zone 2 (2015),Soi Cheang,"Jin Zhang, Tony Jaa, Simon Yam, Jing Wu"
431,Go Away Mr. Tumor (2015),Yan Han,"Yuan Li, Baihe Bai, Zi-Xuan Zhang, Daniel Wu"
432,The Transporter Refueled (2015),Camille Delamarre,"Loan Chabanol, Lenn Kudrjawizki, Ray Stevenson, Ed Skrein"
433,Running Man (2015),Junyi Ceng,"Angelababy, Chen Li, Baoqiang Wang, He Chen"
434,Zhongkui: Snow Girl and the Dark Crystal (2015),Peter Pau,"Bingbing Li, Zishan Yang, Winston Chao, Kun Chen"
435,"Dragon Ball Z: Resurrection ""F"" (2015)",Tadayoshi Yamamuro,"Hiromi Tsuru, Ryô Horikawa, Masako Nozawa, Masaharu Satô"
436,Forever Young (2015),Jiong He,"Yifeng Li, Huiwen Zhang, Yuxi Zhang, Jinfu Jiang"
437,Miss Granny (2015),Leste Chen,"Zishan Yang, Han Lu, Ah-Lei Gua, Bo-lin Chen"
438,Surprise (2015),Xiaoxing Yi,"Bai-Ke, Zishan Yang, Tianyu Ma, Bo-lin Chen"
439,Mortdecai (2015),David Koepp,"Gwyneth Paltrow, Olivia Munn, Johnny Depp, Ewan McGregor"
440,Let's Get Married (2015),Jiang Liu,"Ivy Yi-Han Chen, Zuo Da, Wu Jiang, Yuanyuan Gao"
441,Somewhere Only We Know (2015),Jinglei Xu,"Likun Wang, Jinglei Xu, Kris Wu, Gordon Alexander"
442,Boruto: Naruto The Movie (2015),Hiroyuki Yamashita,"Kokoro Kikuchi, Ryûichi Kijima, Junko Takeuchi, Yûko Sanpei"
443,Lost and Love (2015),Sanyuan Peng,"Sandra Kwan Yue Ng, Andy Lau, Tony Ka Fai Leung, Boran Jing"
444,Self/less (2015),Tarsem Singh,"Ryan Reynolds, Ben Kingsley, Matthew Goode, Natalie Martinez"
445,Saving Mr. Wu (2015),Sheng Ding,"Andy Lau, Qianyuan Wang, Ruofu Wu, Ye Liu"
446,The 33 (2015),Patricia Riggen,"Juliette Binoche, James Brolin, Rodrigo Santoro, Antonio Banderas"
447,American Ultra (2015),Nima Nourizadeh,"John Leguizamo, Jesse Eisenberg, Kristen Stewart, Connie Britton"
448,Wild City (2015),Ringo Lam,"Hsiao-chuan Chang, Liya Tong, Louis Koo, Shawn Yue"
449,Solace (2015),Afonso Poyart,"Colin Farrell, Abbie Cornish, Anthony Hopkins, Jeffrey Dean Morgan"
450,The Assassin (2015),Hsiao-Hsien Hou,"Satoshi Tsumabuki, Yun Zhou, Qi Shu, Chen Chang"
451,Only You (2015),Hao Zhang,"Silvia Bottini, Yan Su, Wei Tang, Fan Liao"
452,The Office (2015),Johnnie To,"Sylvia Chang, Eason Chan, Yun-Fat Chow, Wei Tang"
453,The Ark of Mr Chow (2015),Yang Xiao,"Yuexin Wang, Dongyu Zhou, Honglei Sun, Zijian Dong"
454,A Journey Through Time with Antony (2015),Janet Chun,"Chang Liu, Lisa Lu, Baihe Bai, Yixin Tang"
455,Sheng zhe wei wang (2015),Luo Luo,"Eddie Peng, Shih-Chieh King, Qi Shu, Hong Pan"
456,Absolutely Anything (2015),Terry Jones,"Rob Riggle, Kate Beckinsale, Sanjeev Bhaskar, Simon Pegg"
457,Mountains May Depart (2015),Zhangke Jia,"Yi Zhang, Tao Zhao, Jing Dong Liang, Zijian Dong"
458,A Fool (2014),Jianbin Chen,"Xuebing Wang, Jianbin Chen, Kim Scar, Qinqin Jiang"
459,Life (2017),Daniel Espinosa,"Hiroyuki Sanada, Ryan Reynolds, Jake Gyllenhaal, Rebecca Ferguson"
460,Moana (2016),Ron Clements,"Temuera Morrison, Rachel House, ""Aulii Cravalho"", Dwayne Johnson"
461,Captain America: Civil War (2016),Anthony Russo,"Scarlett Johansson, Robert Downey Jr., Chris Evans, Sebastian Stan"
462,Rogue One: A Star Wars Story (2016),Gareth Edwards,"Diego Luna, Alan Tudyk, Donnie Yen, Felicity Jones"
463,Finding Dory (2016),Andrew Stanton,"Kaitlin Olson, Albert Brooks, Ellen DeGeneres, ""Ed ONeill"""
464,Zootopia (2016),Byron Howard,"Jenny Slate, Ginnifer Goodwin, Idris Elba, Jason Bateman"
465,The Jungle Book (2016),Jon Favreau,"Neel Sethi, Ben Kingsley, Bill Murray, Idris Elba"
466,The Secret Life of Pets (2016),Chris Renaud,"Eric Stonestreet, Kevin Hart, Louis C.K., Lake Bell"
467,Batman v Superman: Dawn of Justice (2016),Zack Snyder,"Ben Affleck, Amy Adams, Jesse Eisenberg, Henry Cavill"
468,Fantastic Beasts and Where to Find Them (2016),David Yates,"Katherine Waterston, Eddie Redmayne, Dan Fogler, Alison Sudol"
469,Doctor Strange (2016),Scott Derrickson,"Rachel McAdams, Benedict Wong, Benedict Cumberbatch, Chiwetel Ejiofor"
470,Sing (2016),Garth Jennings,"Scarlett Johansson, Matthew McConaughey, Seth MacFarlane, Reese Witherspoon"
471,The Mermaid (2016),Stephen Chow,"Yun Lin, Chao Deng, Yuqi Zhang, Show Lo"
472,X,Bryan Singer,"Jennifer Lawrence, Nicholas Hoult, James McAvoy, Michael Fassbender"
473,Kung Fu Panda 3 (2016),Alessandro Carloni,"Bryan Cranston, Jack Black, Angelina Jolie, Dustin Hoffman"
474,La La Land (2016),Damien Chazelle,"Ryan Gosling, J.K. Simmons, Emma Stone, Rosemarie DeWitt"
475,Warcraft (2016),Duncan Jones,"Dominic Cooper, Paula Patton, Travis Fimmel, Ben Foster"
476,Jason Bourne (2016),Paul Greengrass,"Alicia Vikander, Matt Damon, Tommy Lee Jones, Vincent Cassel"
477,Ice Age: Collision Course (2016),Mike Thurmeier,"Denis Leary, Ray Romano, John Leguizamo, Chris Wedge"
478,Independence Day: Resurgence (2016),Roland Emmerich,"Maika Monroe, Bill Pullman, Jeff Goldblum, Liam Hemsworth"
479,Your Name. (2016),Makoto Shinkai,"Mone Kamishiraishi, Ryô Narita, Ryûnosuke Kamiki, Aoi Yûki"
480,The Legend of Tarzan (2016),David Yates,"Rory J. Saper, Christian Stevens, Alexander Skarsgård, Christoph Waltz"
481,The Angry Birds Movie (2016),Clay Kaytis,"Josh Gad, Jason Sudeikis, Danny McBride, Maya Rudolph"
482,Trolls (2016),Mike Mitchell,"Zooey Deschanel, Christopher Mintz-Plasse, Anna Kendrick, Justin Timberlake"
483,Star Trek Beyond (2016),Justin Lin,"Chris Pine, Karl Urban, Zoe Saldana, Zachary Quinto"
484,The Great Wall (2016),Yimou Zhang,"Willem Dafoe, Tian Jing, Matt Damon, Andy Lau"
485,Now You See Me 2 (2016),Jon M. Chu,"Dave Franco, Jesse Eisenberg, Mark Ruffalo, Woody Harrelson"
486,Resident Evil: The Final Chapter (2016),Paul W.S. Anderson,"Ali Larter, Shawn Roberts, Milla Jovovich, Iain Glen"
487,Dangal (2016),Nitesh Tiwari,"Sanya Malhotra, Sakshi Tanwar, Aamir Khan, Fatima Sana Shaikh"
488,Alice Through the Looking Glass (2016),James Bobin,"Anne Hathaway, Helena Bonham Carter, Mia Wasikowska, Johnny Depp"
489,Miss Peregrine's Home for Peculiar Children (2016),Tim Burton,"Samuel L. Jackson, Judi Dench, Asa Butterfield, Eva Green"
490,Teenage Mutant Ninja Turtles: Out of the Shadows (2016),Dave Green,"Will Arnett, Laura Linney, Tyler Perry, Megan Fox"
491,Sully (2016),Clint Eastwood,"Tom Hanks, Laura Linney, Aaron Eckhart, Valerie Mahaffey"
492,Assassin's Creed (2016),Justin Kurzel,"Brendan Gleeson, Jeremy Irons, Marion Cotillard, Michael Fassbender"
493,Inferno (2016),Ron Howard,"Tom Hanks, Irrfan Khan, Felicity Jones, Ben Foster"
494,Bridget Jones's Baby (2016),Sharon Maguire,"Renée Zellweger, Jim Broadbent, Sally Phillips, Gemma Jones"
495,London Has Fallen (2016),Babak Najafi,"Angela Bassett, Aaron Eckhart, Gerard Butler, Morgan Freeman"
496,Arrival (2016),Denis Villeneuve,"Amy Adams, Michael Stuhlbarg, Jeremy Renner, Forest Whitaker"
497,The BFG (2016),Steven Spielberg,"Mark Rylance, Ruby Barnhill, Jemaine Clement, Penelope Wilton"
498,The Monkey King 2 (2016),Soi Cheang,"Shenyang Xiao, Aaron Kwok, Shaofeng Feng, Li Gong"
499,Storks (2016),Nicholas Stoller,"Kelsey Grammer, Andy Samberg, Jennifer Aniston, Katie Crown"
500,Hacksaw Ridge (2016),Mel Gibson,"Luke Bracey, Teresa Palmer, Sam Worthington, Andrew Garfield"
